siteid,sitename,damname,county,township,twd97lon,twd97lat,twd97tm2x,twd97tm2y,sampledate,samplelayer,sampledepth,itemname,itemengabbreviation,itemvalue,itemunit,note
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",底水,10.6,水溫,WT,24.9,℃,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",底水,10.6,卡爾森指數,CTSI,-,,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",中水,5.8,葉綠素a,Chl_a,3.8,μg/L,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",中水,5.8,總磷,TP,0.032,mg/L,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",中水,5.8,正磷酸鹽,PO4,-,mg/L,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",中水,5.8,溶氧飽和度,DOS,87.4,%,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",中水,5.8,溶氧(滴定法),DO2,-,mg/L,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",中水,5.8,總鹼度,TAlk,-,mg/L,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",中水,5.8,總硬度,TH,-,mg/L,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",中水,5.8,總氮,TN,0.43,mg/L,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",中水,5.8,亞硝酸鹽氮,NO2_N,-,mg/L,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",中水,5.8,硝酸鹽氮,NO3_N,-,mg/L,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",中水,5.8,總凱氏氮,TKN,-,mg/L,
2170,烏山頭水庫二,烏山頭水庫,臺南市,官田區,120.3718840,23.2027020,185706.06,2566868.07,"2025-11-20 12:31:00",中水,5.8,有機氮,Norg,-,mg/L,
